id,title,category,location,hidden,start_time,end_time,cost,capacity,created_at,updated_at,organizer_id,available_places
7,Футбол на полтине,football,0101000020E6100000AF1D311F358E5C40D40AD3F71A503640,false,2018-10-07 11:57:51.400000,2018-12-07 11:57:51.400000,6.5,15,2018-10-31 09:11:41.997983,2018-10-31 09:11:41.997983,1,15
10,Матч века,other,0101000020E6100000E9372F58FBF34A4000000000EA903B40,false,2018-10-07 17:20:00.000000,2018-10-07 19:00:00.000000,6,15,2018-11-25 19:51:38.367407,2018-11-25 19:51:38.367407,1,15
11,Red Rock Canyon,volleyball,0101000020E6100000478D7A1F56F44A40165538D5558C3B40,false,2018-10-07 04:55:03.000000,2018-10-08 04:35:22.000000,93.52,43,2018-11-25 20:06:07.230718,2018-11-25 20:06:07.230718,1,43
12,New Vegas,freewalkingtours,0101000020E61000002751AE3382EC4A405C62E7E70F9D3B40,false,2018-10-07 03:13:14.000000,2018-10-08 17:45:23.000000,67.31,32,2018-11-25 20:06:35.334038,2018-11-25 20:06:35.334038,1,32
13,Anchorage,volleyball,0101000020E61000004EB2D89CFFF14A400E1F762315873B40,false,2018-10-07 14:12:27.000000,2018-10-08 18:31:42.000000,56.58,87,2018-11-25 20:06:35.347039,2018-11-25 20:06:35.347039,1,87
14,The Commonwealth,other,0101000020E6100000ABAA43F516ED4A405E2018DADA843B40,false,2018-10-07 07:27:29.000000,2018-10-08 17:13:24.000000,99.54,91,2018-11-25 20:06:35.357045,2018-11-25 20:06:35.357045,1,91
15,Hoover Dam,meeting,0101000020E610000070A0B34D2BF94A40EF291A32AF9E3B40,false,2018-10-07 15:19:48.000000,2018-10-08 11:53:07.000000,49.19,45,2018-11-25 20:06:35.367045,2018-11-25 20:06:35.367045,1,45
16,Sloan,other,0101000020E6100000C45CF30B27F34A400CB1B0A13B963B40,false,2018-10-07 04:24:40.000000,2018-10-08 01:19:20.000000,19.67,45,2018-11-25 20:06:35.373042,2018-11-25 20:06:35.373042,1,45
17,Sloan,football,0101000020E6100000B8C7BBF3B9F34A4079F2E3B8BB833B40,false,2018-10-07 13:36:46.000000,2018-10-08 00:16:31.000000,18.32,87,2018-11-25 20:06:35.379040,2018-11-25 20:06:35.379040,1,87
18,The Commonwealth,basketball,0101000020E61000006BB8F1CB85F34A40CB07AA01C19F3B40,false,2018-10-07 18:12:52.000000,2018-10-08 17:44:29.000000,77.66,16,2018-11-25 20:06:35.388042,2018-11-25 20:06:35.388042,1,16
19,Dog City,other,0101000020E6100000E45E473605F14A408248815E888F3B40,false,2018-10-07 13:51:08.000000,2018-10-08 15:46:04.000000,25.04,61,2018-11-25 20:06:35.393041,2018-11-25 20:06:35.393041,1,61
20,The Commonwealth,other,0101000020E6100000FBCB79DC40F34A401E25086A88843B40,false,2018-10-07 20:39:32.000000,2018-10-08 15:42:54.000000,35.77,93,2018-11-25 20:06:35.402042,2018-11-25 20:06:35.402042,1,93
21,Vault 101,volleyball,0101000020E6100000C6CC42C85EEF4A4020AA3A00767D3B40,false,2018-10-07 07:26:44.000000,2018-10-08 05:57:01.000000,33.72,62,2018-11-25 20:06:35.407042,2018-11-25 20:06:35.407042,1,62
22,Concord,basketball,0101000020E6100000381D4EEB95F94A4065D0084C7EA83B40,false,2018-10-07 00:09:59.000000,2018-10-08 05:46:27.000000,13.82,28,2018-11-25 20:06:35.414068,2018-11-25 20:06:35.414068,1,28
23,Cambridge,meeting,0101000020E6100000A3CE0CC034EE4A406BFE1725F9943B40,false,2018-10-07 18:49:40.000000,2018-10-08 06:46:47.000000,31.31,19,2018-11-25 20:06:35.421042,2018-11-25 20:06:35.421042,1,19
24,Hoover Dam,football,0101000020E6100000DEB6118F79F54A40A1D280DCD8733B40,false,2018-10-07 06:26:57.000000,2018-10-08 19:52:16.000000,28.61,7,2018-11-25 20:06:35.426042,2018-11-25 20:06:35.426042,1,7
25,Concord,other,0101000020E61000002D9C2443F6F14A404F152B98467B3B40,false,2018-10-07 20:46:50.000000,2018-10-08 00:40:35.000000,61.97,33,2018-11-25 20:06:35.436038,2018-11-25 20:06:35.436038,1,33
26,Vault 3,football,0101000020E610000063EB986B6CEE4A4044A471879EA73B40,false,2018-10-07 14:36:10.000000,2018-10-08 07:51:19.000000,22.94,58,2018-11-25 20:06:35.444034,2018-11-25 20:06:35.444034,1,58
27,Vault 111,football,0101000020E61000008A9BFA8E3FEE4A40E816A7F4F8763B40,false,2018-10-07 16:13:40.000000,2018-10-08 11:31:38.000000,24.98,68,2018-11-25 20:06:35.453036,2018-11-25 20:06:35.453036,1,68
28,Vault 13,meeting,0101000020E6100000D631771A31F54A40FE0543609E903B40,false,2018-10-07 16:53:32.000000,2018-10-08 18:14:33.000000,83.43,32,2018-11-25 20:06:35.458043,2018-11-25 20:06:35.458043,1,32
29,Vault 11,other,0101000020E61000008802314FC5EF4A407661B1239AA83B40,false,2018-10-07 10:13:27.000000,2018-10-08 20:28:33.000000,35.58,9,2018-11-25 20:06:35.465041,2018-11-25 20:06:35.465041,1,9
30,Concord,basketball,0101000020E61000002EB44EB31EEC4A408C1559A5C49B3B40,false,2018-10-07 09:42:22.000000,2018-10-08 11:00:01.000000,90.75,30,2018-11-25 20:06:35.471042,2018-11-25 20:06:35.471042,1,30
31,Vault 11,meeting,0101000020E6100000B302DA7CDCEB4A405C4B347390983B40,false,2018-10-07 05:36:46.000000,2018-10-08 01:32:18.000000,83.84,49,2018-11-25 20:06:35.476040,2018-11-25 20:06:35.476040,1,49
32,Vault 22,volleyball,0101000020E6100000F23DC1DBA9F74A40BAEC3314C6783B40,false,2018-10-07 08:55:33.000000,2018-10-08 20:16:06.000000,97.38,27,2018-11-25 20:06:35.482042,2018-11-25 20:06:35.482042,1,27
33,Little Lamplight,basketball,0101000020E6100000715F20E703F74A40CE669F9C169F3B40,false,2018-10-07 00:45:24.000000,2018-10-08 07:51:40.000000,66.05,26,2018-11-25 20:06:35.487041,2018-11-25 20:06:35.487041,1,26
34,Vault 13,freewalkingtours,0101000020E610000090397EE729F24A40943E6F8999803B40,false,2018-10-07 16:56:40.000000,2018-10-08 04:40:13.000000,72.97,51,2018-11-25 20:06:35.492041,2018-11-25 20:06:35.492041,1,51
35,Nellis Air Force Base,volleyball,0101000020E61000004B5E4560D2EC4A40349263751B823B40,false,2018-10-07 14:31:57.000000,2018-10-08 15:48:16.000000,14.32,68,2018-11-25 20:06:35.498039,2018-11-25 20:06:35.498039,1,68
36,New Reno,basketball,0101000020E6100000F93BF3AE10EF4A40421FD18D227E3B40,false,2018-10-07 20:21:30.000000,2018-10-08 08:53:46.000000,92.93,26,2018-11-25 20:06:35.504039,2018-11-25 20:06:35.504039,1,26
37,Vault 11,other,0101000020E6100000027E880216F34A40F82D2C8C66933B40,false,2018-10-07 03:14:24.000000,2018-10-08 05:56:30.000000,92.88,6,2018-11-25 20:06:35.509041,2018-11-25 20:06:35.509041,1,6
38,Hoover Dam,basketball,0101000020E610000056A9CA59C9F44A40EC8CA7273A893B40,false,2018-10-07 08:17:48.000000,2018-10-08 06:44:49.000000,94.17,93,2018-11-25 20:06:35.516037,2018-11-25 20:06:35.516037,1,93
40,Vault 15,football,0101000020E610000062968A0F0BF14A408222406568AB3B40,false,2018-10-07 13:31:29.000000,2018-10-07 21:54:25.000000,21.09,78,2018-11-25 20:06:35.526041,2018-11-25 20:06:35.526041,1,78
41,Diamond City,volleyball,0101000020E61000004ED1EB0D5FF24A40A52050C34E7D3B40,false,2018-10-07 14:15:21.000000,2018-10-08 16:35:37.000000,17.14,66,2018-11-25 20:06:35.532043,2018-11-25 20:06:35.532043,1,66
42,Big MT,meeting,0101000020E61000002D861A3F7CF14A40915D6F3097723B40,false,2018-10-07 08:52:10.000000,2018-10-08 05:17:33.000000,63.63,6,2018-11-25 20:06:35.540040,2018-11-25 20:06:35.540040,1,6
43,Vault 111,other,0101000020E6100000860E5DDCF0EE4A40447088B28A983B40,false,2018-10-07 11:43:58.000000,2018-10-08 20:19:09.000000,39.28,50,2018-11-25 20:06:35.550073,2018-11-25 20:06:35.550073,1,50
44,Vault 11,volleyball,0101000020E610000006563B2C18F94A4084107F8BD1903B40,false,2018-10-07 10:23:54.000000,2018-10-08 04:09:13.000000,51.59,17,2018-11-25 20:06:35.559038,2018-11-25 20:06:35.559038,1,17
45,Vault 11,meeting,0101000020E61000004F2335EE08F54A40D6BDE6CD35953B40,false,2018-10-07 04:49:05.000000,2018-10-08 04:05:58.000000,72.74,76,2018-11-25 20:06:35.568035,2018-11-25 20:06:35.568035,1,76
46,Vault City,meeting,0101000020E61000005B35196F82F04A40B12475A215843B40,false,2018-10-07 03:58:54.000000,2018-10-08 18:55:37.000000,53.83,39,2018-11-25 20:06:35.573042,2018-11-25 20:06:35.573042,1,39
49,Big MT,basketball,0101000020E610000043550143BAF74A40103CF55058733B40,false,2018-10-07 20:06:14.000000,2018-10-08 08:44:44.000000,28.34,84,2018-11-25 20:06:35.596041,2018-11-25 20:06:35.596041,1,84
