timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544248667884,820,View map,200,OK,ThreadGroup 1-1,text,true,,312216,472,2,2,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.44%2C+54.14%2C+27.74%29,818,0,22
1544248667814,820,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-1,,true,,312216,472,2,2,null,818,72,22
1544248668285,1190,View map,200,OK,ThreadGroup 1-2,text,true,,233784,472,4,4,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.44%2C+54.17%2C+27.74%29,1159,0,1
1544248668285,1190,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-2,,true,,233784,472,4,4,null,1159,0,1
1544248668713,1094,View map,200,OK,ThreadGroup 1-1,text,true,,141168,472,5,5,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.44%2C+54.20%2C+27.74%29,1093,0,0
1544248668707,1094,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-1,,true,,141168,472,5,5,null,1093,6,0
1544248669286,679,View map,200,OK,ThreadGroup 1-4,text,true,,4157,472,5,5,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.44%2C+54.25%2C+27.74%29,679,0,1
1544248669285,679,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-4,,true,,4157,472,5,5,null,679,2,1
1544248668786,1845,View map,200,OK,ThreadGroup 1-3,text,true,,61868,472,6,6,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.44%2C+54.23%2C+27.74%29,1804,0,1
1544248668784,1845,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-3,,true,,61868,472,6,6,null,1804,2,1
1544248669808,1065,View map,200,OK,ThreadGroup 1-1,text,true,,125990,472,7,7,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.47%2C+54.20%2C+27.77%29,1044,0,1
1544248669807,1065,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-1,,true,,125990,472,7,7,null,1044,2,1
1544248669476,1816,View map,200,OK,ThreadGroup 1-2,text,true,,272328,472,8,8,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.47%2C+54.14%2C+27.77%29,1808,0,1
1544248669476,1816,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-2,,true,,272328,472,8,8,null,1808,1,1
1544248670288,1650,View map,200,OK,ThreadGroup 1-6,text,true,,3450,472,9,9,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.47%2C+54.25%2C+27.77%29,1648,0,0
1544248670287,1650,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-6,,true,,3450,472,9,9,null,1648,2,0
1544248669786,2154,View map,200,OK,ThreadGroup 1-5,text,true,,204477,472,9,9,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.47%2C+54.17%2C+27.77%29,2153,0,1
1544248669785,2154,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-5,,true,,204477,472,9,9,null,2153,1,1
1544248669966,1976,View map,200,OK,ThreadGroup 1-4,text,true,,55844,472,9,9,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.47%2C+54.23%2C+27.77%29,1975,0,1
1544248669966,1976,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-4,,true,,55844,472,9,9,null,1975,0,1
1544248670632,2177,View map,200,OK,ThreadGroup 1-3,text,true,,229866,472,11,11,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.50%2C+54.14%2C+27.80%29,2155,0,1
1544248670632,2177,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-3,,true,,229866,472,11,11,null,2155,0,1
1544248670790,2300,View map,200,OK,ThreadGroup 1-7,text,true,,173656,472,11,11,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.50%2C+54.17%2C+27.80%29,2280,0,0
1544248670789,2300,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-7,,true,,173656,472,11,11,null,2280,2,0
1544248671291,2125,View map,200,OK,ThreadGroup 1-8,text,true,,49457,472,12,12,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.50%2C+54.23%2C+27.80%29,2124,0,1
1544248671290,2125,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-8,,true,,49457,472,12,12,null,2124,1,1
1544248671293,2150,View map,200,OK,ThreadGroup 1-2,text,true,,3094,472,12,12,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.50%2C+54.25%2C+27.80%29,2123,0,1
1544248671293,2150,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-2,,true,,3094,472,12,12,null,2123,1,1
1544248670874,2612,View map,200,OK,ThreadGroup 1-1,text,true,,108243,472,12,12,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.50%2C+54.20%2C+27.80%29,2611,0,1
1544248670874,2612,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-1,,true,,108243,472,12,12,null,2611,0,1
1544248671792,2399,View map,200,OK,ThreadGroup 1-9,text,true,,179272,472,13,13,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.53%2C+54.14%2C+27.83%29,2368,0,0
1544248671791,2399,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-9,,true,,179272,472,13,13,null,2368,1,0
1544248672293,2366,View map,200,OK,ThreadGroup 1-10,text,true,,2390,472,14,14,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.53%2C+54.25%2C+27.83%29,2345,0,1
1544248672292,2366,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-10,,true,,2390,472,14,14,null,2345,1,1
1544248671942,2785,View map,200,OK,ThreadGroup 1-4,text,true,,36378,472,14,14,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.53%2C+54.23%2C+27.83%29,2783,0,1
1544248671942,2785,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-4,,true,,36378,472,14,14,null,2783,0,1
1544248671939,2790,View map,200,OK,ThreadGroup 1-6,text,true,,134055,472,14,14,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.53%2C+54.17%2C+27.83%29,2789,0,1
1544248671939,2790,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-6,,true,,134055,472,14,14,null,2789,1,1
1544248671941,2789,View map,200,OK,ThreadGroup 1-5,text,true,,85966,472,14,14,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.53%2C+54.20%2C+27.83%29,2788,0,0
1544248671940,2789,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-5,,true,,85966,472,14,14,null,2788,1,0
1544248673417,2279,View map,200,OK,ThreadGroup 1-8,text,true,,2038,472,16,16,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.56%2C+54.25%2C+27.86%29,2238,0,1
1544248673417,2279,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-8,,true,,2038,472,16,16,null,2238,1,1
1544248673293,2509,View map,200,OK,ThreadGroup 1-12,text,true,,28594,472,17,17,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.56%2C+54.23%2C+27.86%29,2466,0,1
1544248673292,2509,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-12,,true,,28594,472,17,17,null,2466,1,1
1544248672792,3055,View map,200,OK,ThreadGroup 1-11,text,true,,143537,472,17,17,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.56%2C+54.14%2C+27.86%29,3041,0,1
1544248672792,3055,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-11,,true,,143537,472,17,17,null,3041,0,1
1544248673092,2761,View map,200,OK,ThreadGroup 1-7,text,true,,66821,472,17,17,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.56%2C+54.20%2C+27.86%29,2759,0,1
1544248673092,2761,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-7,,true,,66821,472,17,17,null,2759,1,1
1544248672810,3054,View map,200,OK,ThreadGroup 1-3,text,true,,106793,472,17,17,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.56%2C+54.17%2C+27.86%29,3043,0,2
